amount,drivetrain,payment_year,disadvantaged,publicorprivate,grossvehicleweight,manufacturer,vocationaluse,infrastructure,county,assemblydistrict,senatedistrict,air_district,censustract,fleetzipcode
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Private,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2019,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2019,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
156000,ZEV-BEV,2020,No,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
156000,ZEV-BEV,2020,No,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
156000,ZEV-BEV,2020,No,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
156000,ZEV-BEV,2020,No,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
156000,ZEV-BEV,2020,No,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
156000,ZEV-BEV,2020,No,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
156000,ZEV-BEV,2020,No,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Bernardino County,Assembly District 33,Senate District 21,Mojave Desert AQMD,Tract 06071010013,ZIP Code 92345
156000,ZEV-BEV,2020,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
130000,ZEV-BEV,2020,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Marin County,Assembly District 10,Senate District 02,Bay Area AQMD,Tract 06041112202,ZIP Code 94901
175000,ZEV-BEV,2020,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Riverside County,Assembly District 56,Senate District 28,South Coast AQMD,Tract 06065049500,ZIP Code 92201
175000,ZEV-BEV,2020,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Riverside County,Assembly District 56,Senate District 28,South Coast AQMD,Tract 06065049500,ZIP Code 92201
45000,Natural Gas,2020,Yes,Private,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
50000,Natural Gas,2020,No,Public,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
45000,Natural Gas,2020,Yes,Private,"33,001 and up",Cummins Westport,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
165000,ZEV-BEV,2020,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Diego County,Assembly District 78,Senate District 39,San Diego County APCD,Tract 06073005100,ZIP Code 92101
165000,ZEV-BEV,2020,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Diego County,Assembly District 78,Senate District 39,San Diego County APCD,Tract 06073005100,ZIP Code 92101
165000,ZEV-BEV,2020,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Diego County,Assembly District 78,Senate District 39,San Diego County APCD,Tract 06073005100,ZIP Code 92101
165000,ZEV-BEV,2020,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,San Diego County,Assembly District 78,Senate District 39,San Diego County APCD,Tract 06073005100,ZIP Code 92101
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
10000,Natural Gas,2020,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 51,Senate District 24,South Coast AQMD,Tract 06037206020,ZIP Code 90012
